layer,auroc,num_refusal,num_other
1,0.680395,220,380
2,0.670407,220,380
3,0.686280,220,380
4,0.699330,220,380
5,0.712081,220,380
6,0.722787,220,380
7,0.720156,220,380
8,0.740646,220,380
9,0.756890,220,380
10,0.768337,220,380
11,0.771184,220,380
12,0.781699,220,380
13,0.818158,220,380
14,0.859605,220,380
15,0.896340,220,380
16,0.922859,220,380
17,0.934928,220,380
18,0.941974,220,380
19,0.951687,220,380
20,0.958349,220,380
21,0.959306,220,380
22,0.959211,220,380
23,0.962069,220,380
24,0.963947,220,380
25,0.964988,220,380
26,0.963864,220,380
27,0.956280,220,380
28,0.951699,220,380
