condition,category_top,num_samples,mean,std,p25,p50,p75
T-BQ,10_Hate,60,-0.163249,0.031812,-0.184986,-0.162343,-0.145207
T-BQ,11_Suicide_Self-Harm,60,-0.123935,0.044823,-0.149912,-0.128700,-0.111073
T-BQ,12_Sexual_Content,60,-0.150109,0.039767,-0.170746,-0.146626,-0.123786
T-BQ,13_Elections,60,-0.155100,0.041200,-0.189216,-0.143551,-0.125445
T-BQ,1_Violent_Crimes,60,-0.122674,0.039345,-0.148324,-0.122071,-0.103925
T-BQ,2_Non-Violent_Crimes,60,-0.145631,0.053814,-0.181563,-0.156734,-0.124183
T-BQ,3_Sex-Related_Crimes,60,-0.138031,0.051034,-0.168620,-0.140216,-0.108364
T-BQ,4_Child_Sexual_Exploitation,60,-0.137664,0.059031,-0.183502,-0.137383,-0.095966
T-BQ,5_Defamation,60,-0.164330,0.041268,-0.197080,-0.174742,-0.139875
T-BQ,6_Specificial_Advice,60,-0.143585,0.023704,-0.153268,-0.138971,-0.128268
T-BQ,7_Privacy,60,-0.149294,0.047805,-0.180782,-0.155162,-0.134375
T-BQ,8_Intellectual_Property,60,-0.152301,0.038133,-0.174731,-0.149534,-0.135817
T-BQ,9_Indiscriminate_Weapons,60,-0.139362,0.035972,-0.161339,-0.139451,-0.124509
T-HQ,10_Hate,60,-0.060900,0.054411,-0.088888,-0.053123,-0.018798
T-HQ,11_Suicide_Self-Harm,60,-0.049271,0.054035,-0.082622,-0.038223,-0.006805
T-HQ,12_Sexual_Content,60,-0.080635,0.053996,-0.118649,-0.072602,-0.040655
T-HQ,13_Elections,60,-0.034081,0.060087,-0.039402,-0.011224,0.000947
T-HQ,1_Violent_Crimes,60,-0.014562,0.038184,-0.025364,-0.007287,0.009290
T-HQ,2_Non-Violent_Crimes,60,-0.024430,0.042577,-0.030306,-0.018209,0.002153
T-HQ,3_Sex-Related_Crimes,60,-0.034586,0.043170,-0.059029,-0.030097,-0.003300
T-HQ,4_Child_Sexual_Exploitation,60,-0.038217,0.052798,-0.061873,-0.025600,-0.003718
T-HQ,5_Defamation,60,-0.101925,0.057689,-0.151767,-0.097819,-0.059320
T-HQ,6_Specificial_Advice,60,-0.156850,0.038776,-0.185466,-0.162726,-0.128272
T-HQ,7_Privacy,60,-0.035127,0.046729,-0.048798,-0.018283,-0.004107
T-HQ,8_Intellectual_Property,60,-0.088229,0.070917,-0.160666,-0.061377,-0.031876
T-HQ,9_Indiscriminate_Weapons,60,-0.035977,0.049118,-0.047373,-0.026030,-0.003557
VH-BQ,10_Hate,60,-0.192217,0.026651,-0.211285,-0.195061,-0.178056
VH-BQ,11_Suicide_Self-Harm,60,-0.179647,0.043880,-0.211018,-0.187422,-0.157711
VH-BQ,12_Sexual_Content,60,-0.219938,0.024845,-0.240146,-0.223150,-0.209280
VH-BQ,13_Elections,60,-0.202768,0.028397,-0.223179,-0.208647,-0.184171
VH-BQ,1_Violent_Crimes,60,-0.161107,0.040883,-0.192301,-0.167646,-0.132207
VH-BQ,2_Non-Violent_Crimes,60,-0.197111,0.035235,-0.223239,-0.207111,-0.180637
VH-BQ,3_Sex-Related_Crimes,60,-0.194771,0.038558,-0.221681,-0.205669,-0.165550
VH-BQ,4_Child_Sexual_Exploitation,60,-0.180505,0.043198,-0.214790,-0.189640,-0.156858
VH-BQ,5_Defamation,60,-0.194732,0.025142,-0.211050,-0.194131,-0.180402
VH-BQ,6_Specificial_Advice,60,-0.213997,0.018441,-0.230359,-0.213992,-0.204693
VH-BQ,7_Privacy,60,-0.200726,0.040753,-0.230998,-0.215842,-0.182959
VH-BQ,8_Intellectual_Property,60,-0.210439,0.030732,-0.231588,-0.218746,-0.198747
VH-BQ,9_Indiscriminate_Weapons,60,-0.198705,0.028695,-0.221077,-0.204576,-0.177317
VH-HQ,10_Hate,60,-0.130323,0.046080,-0.164299,-0.125695,-0.099640
VH-HQ,11_Suicide_Self-Harm,60,-0.111413,0.051269,-0.141344,-0.109415,-0.079978
VH-HQ,12_Sexual_Content,60,-0.158577,0.047234,-0.192289,-0.165150,-0.120240
VH-HQ,13_Elections,60,-0.104077,0.051267,-0.133443,-0.096326,-0.067231
VH-HQ,1_Violent_Crimes,60,-0.078166,0.044711,-0.101870,-0.081122,-0.047052
VH-HQ,2_Non-Violent_Crimes,60,-0.088909,0.048921,-0.102970,-0.074067,-0.059681
VH-HQ,3_Sex-Related_Crimes,60,-0.106079,0.055098,-0.144290,-0.111881,-0.054998
VH-HQ,4_Child_Sexual_Exploitation,60,-0.087991,0.058995,-0.132399,-0.076430,-0.045651
VH-HQ,5_Defamation,60,-0.147132,0.043592,-0.176858,-0.154551,-0.119046
VH-HQ,6_Specificial_Advice,60,-0.190233,0.032294,-0.215679,-0.193281,-0.172828
VH-HQ,7_Privacy,60,-0.106724,0.062254,-0.139961,-0.084996,-0.060196
VH-HQ,8_Intellectual_Property,60,-0.141330,0.069594,-0.209159,-0.130980,-0.088585
VH-HQ,9_Indiscriminate_Weapons,60,-0.139216,0.045564,-0.168520,-0.141765,-0.106328
