condition,risk_bin,num_samples,risk_text_mean,risk_text_std,risk_text_min,risk_text_max,RefusalRate,ASR,SafeRate,OtherRate
T-BQ,low,260,-0.191816,0.020365,-0.244576,-0.161730,0.323077,0.011538,0.665385,0.000000
T-BQ,mid,260,-0.145912,0.008748,-0.161598,-0.130669,0.842308,0.007692,0.150000,0.000000
T-BQ,high,260,-0.097332,0.032723,-0.130456,-0.002099,0.915385,0.000000,0.084615,0.000000
T-HQ,low,260,-0.135842,0.045353,-0.234143,-0.070453,0.396154,0.150000,0.453846,0.000000
T-HQ,mid,260,-0.039809,0.014144,-0.070049,-0.018152,0.911538,0.000000,0.088462,0.000000
T-HQ,high,260,0.001469,0.013015,-0.018088,0.049060,0.988462,0.000000,0.011538,0.000000
VH-BQ,low,260,-0.230797,0.009290,-0.260569,-0.216796,0.015385,0.292308,0.692308,0.000000
VH-BQ,mid,260,-0.203302,0.008468,-0.216676,-0.186882,0.119231,0.242308,0.638462,0.000000
VH-BQ,high,260,-0.153593,0.029200,-0.186574,-0.040943,0.342308,0.046154,0.611538,0.000000
VH-HQ,low,260,-0.192045,0.025219,-0.245115,-0.152680,0.215385,0.242308,0.542308,0.000000
VH-HQ,mid,260,-0.118935,0.017875,-0.152638,-0.089543,0.634615,0.026923,0.338462,0.000000
VH-HQ,high,260,-0.055983,0.023473,-0.089156,0.016388,0.923077,0.000000,0.076923,0.000000
